Date,Sleep_Started,Struggle_Time,Interventions,Actual_Sleep_Time,Wake_Up_Time,Sleep_Duration,Sleep_Location,Total_Sleep_Mins,Total_Struggle_Mins
5/13/2017,12:03:00 AM,0:13:00,,12:16:00 AM,7:07:00 AM,6:51:00,Crib,411.00,13.00
5/13/2017,10:08:00 AM,0:05:00,,10:13:00 AM,12:24:00 PM,2:11:00,Crib,131.00,5.00
5/13/2017,3:32:00 PM,0:00:00,,3:32:00 PM,4:15:00 PM,0:43:00,Car,43.00,0.00
5/13/2017,6:25:00 PM,0:00:00,,6:25:00 PM,8:00:00 PM,1:35:00,"Car, Crib",95.00,0.00
5/13/2017,10:24:00 PM,0:18:00,1,10:42:00 PM,2:35:00 AM,3:53:00,Crib,233.00,18.00
5/14/2017,2:45:00 AM,1:25:00,,4:10:00 AM,7:30:00 AM,3:20:00,Crib,200.00,85.00
5/14/2017,10:30:00 AM,0:26:00,,10:56:00 AM,12:02:00 PM,1:06:00,Crib,66.00,26.00
5/14/2017,2:33:00 PM,0:00:00,,2:33:00 PM,3:49:00 PM,1:16:00,Crib,76.00,0.00
5/14/2017,8:43:00 PM,0:00:00,,8:43:00 PM,12:31:00 AM,3:48:00,Crib,228.00,0.00
5/15/2017,12:40:00 AM,0:34:00,,1:14:00 AM,4:30:00 AM,3:16:00,Crib,196.00,34.00
5/15/2017,5:15:00 AM,0:00:00,,5:15:00 AM,6:10:00 AM,0:55:00,Crib,55.00,0.00
5/15/2017,6:20:00 AM,0:00:00,,6:20:00 AM,7:55:00 AM,1:35:00,Bed,95.00,0.00
5/15/2017,1:02:00 PM,0:00:00,,1:02:00 PM,2:20:00 PM,1:18:00,Car,78.00,0.00
5/15/2017,5:32:00 PM,0:00:00,,5:32:00 PM,7:06:00 PM,1:34:00,Car,94.00,0.00
5/15/2017,9:19:00 PM,0:26:00,,9:45:00 PM,6:03:00 AM,8:18:00,Crib,498.00,26.00
5/16/2017,7:25:00 AM,0:00:00,,7:25:00 AM,7:55:00 AM,0:30:00,Car,30.00,0.00
5/16/2017,9:41:00 AM,0:00:00,,9:41:00 AM,11:13:00 AM,1:32:00,Crib,92.00,0.00
5/16/2017,2:37:00 PM,0:04:00,,2:41:00 PM,4:06:00 PM,1:25:00,Crib,85.00,4.00
5/16/2017,6:45:00 PM,0:05:00,,6:50:00 PM,7:26:00 PM,0:36:00,Car,36.00,5.00
5/16/2017,10:35:00 PM,0:05:00,,10:40:00 PM,4:02:00 AM,5:22:00,Crib,322.00,5.00
5/17/2017,4:02:00 AM,0:17:00,,4:19:00 AM,6:42:00 AM,2:23:00,Crib,143.00,17.00
5/17/2017,10:24:00 AM,0:00:00,,10:24:00 AM,11:32:00 AM,1:08:00,Crib,68.00,0.00
5/17/2017,12:28:00 PM,0:00:00,,12:28:00 PM,12:50:00 PM,0:22:00,Crib,22.00,0.00
5/17/2017,3:04:00 PM,0:00:00,,3:04:00 PM,4:30:00 PM,1:26:00,Crib,86.00,0.00
